,Category: All categories,education,abuse,alcohol,divorce,allsocialstressors
Week,pharmacy: (Ontario),education: (Ontario),abuse: (Ontario),alcohol: (Ontario),divorce: (Ontario),allsocialstressors: (Ontario)
2018-01-07,20,64.0,81.0,50.0,52.0,267.0
2018-01-14,19,66.0,98.0,57.0,53.0,293.0
2018-01-21,20,60.0,100.0,52.0,60.0,292.0
2018-01-28,21,61.0,91.0,52.0,57.0,282.0
2018-02-04,20,63.0,85.0,52.0,55.0,275.0
2018-02-11,21,55.0,74.0,49.0,62.0,261.0
2018-02-18,20,53.0,65.0,58.0,59.0,255.0
2018-02-25,20,64.0,73.0,53.0,56.0,266.0
2018-03-04,20,54.0,77.0,53.0,58.0,262.0
2018-03-11,21,50.0,72.0,61.0,80.0,284.0
2018-03-18,21,61.0,78.0,58.0,76.0,294.0
2018-03-25,20,57.0,80.0,60.0,65.0,282.0
2018-04-01,19,56.0,71.0,56.0,61.0,263.0
2018-04-08,19,57.0,80.0,52.0,65.0,273.0
2018-04-15,19,55.0,71.0,56.0,64.0,265.0
2018-04-22,20,53.0,73.0,52.0,53.0,251.0
2018-04-29,19,55.0,70.0,51.0,57.0,252.0
2018-05-06,21,58.0,68.0,52.0,57.0,256.0
2018-05-13,20,52.0,57.0,51.0,56.0,236.0
2018-05-20,20,51.0,74.0,54.0,64.0,263.0
2018-05-27,20,58.0,64.0,53.0,55.0,250.0
2018-06-03,21,65.0,73.0,52.0,52.0,263.0
2018-06-10,22,58.0,72.0,60.0,63.0,275.0
2018-06-17,21,52.0,77.0,52.0,62.0,264.0
2018-06-24,21,47.0,56.0,52.0,46.0,222.0
2018-07-01,22,41.0,49.0,53.0,59.0,224.0
2018-07-08,21,54.0,57.0,59.0,63.0,254.0
2018-07-15,22,52.0,60.0,53.0,57.0,244.0
2018-07-22,22,47.0,59.0,53.0,64.0,245.0
2018-07-29,22,43.0,56.0,54.0,59.0,234.0
2018-08-05,20,41.0,52.0,62.0,58.0,233.0
2018-08-12,21,44.0,64.0,54.0,59.0,242.0
2018-08-19,22,51.0,59.0,57.0,58.0,247.0
2018-08-26,22,50.0,66.0,52.0,51.0,241.0
2018-09-02,21,61.0,51.0,49.0,45.0,227.0
2018-09-09,21,67.0,61.0,49.0,49.0,247.0
2018-09-16,21,69.0,67.0,57.0,56.0,270.0
2018-09-23,21,65.0,71.0,53.0,59.0,269.0
2018-09-30,20,59.0,67.0,58.0,49.0,253.0
2018-10-07,21,54.0,75.0,60.0,49.0,259.0
2018-10-14,21,58.0,69.0,58.0,50.0,256.0
2018-10-21,21,57.0,64.0,54.0,50.0,246.0
2018-10-28,22,56.0,71.0,54.0,54.0,257.0
2018-11-04,22,64.0,79.0,57.0,53.0,275.0
2018-11-11,20,54.0,74.0,54.0,44.0,246.0
2018-11-18,20,53.0,78.0,51.0,47.0,249.0
2018-11-25,20,61.0,75.0,59.0,51.0,266.0
2018-12-02,20,58.0,76.0,59.0,55.0,268.0
2018-12-09,22,49.0,68.0,61.0,48.0,248.0
2018-12-16,23,49.0,56.0,72.0,49.0,249.0
2018-12-23,21,25.0,45.0,75.0,47.0,213.0
2018-12-30,21,35.0,44.0,76.0,53.0,229.0
2019-01-06,21,67.0,70.0,59.0,74.0,291.0
2019-01-13,22,94.0,74.0,61.0,66.0,317.0
2019-01-20,21,81.0,74.0,56.0,52.0,284.0
2019-01-27,21,71.0,67.0,50.0,53.0,262.0
2019-02-03,20,70.0,66.0,56.0,58.0,270.0
2019-02-10,21,63.0,60.0,57.0,58.0,259.0
2019-02-17,21,58.0,86.0,58.0,60.0,283.0
2019-02-24,20,64.0,66.0,54.0,54.0,258.0
2019-03-03,21,59.0,82.0,56.0,52.0,270.0
2019-03-10,21,74.0,74.0,53.0,56.0,278.0
2019-03-17,21,78.0,70.0,58.0,56.0,283.0
2019-03-24,20,78.0,79.0,58.0,57.0,292.0
2019-03-31,22,99.0,74.0,56.0,63.0,314.0
2019-04-07,21,80.0,77.0,55.0,58.0,291.0
2019-04-14,21,56.0,62.0,58.0,57.0,254.0
2019-04-21,21,55.0,64.0,53.0,61.0,254.0
2019-04-28,22,63.0,64.0,55.0,51.0,255.0
2019-05-05,22,57.0,59.0,50.0,57.0,245.0
2019-05-12,22,56.0,67.0,59.0,50.0,254.0
2019-05-19,21,54.0,66.0,60.0,50.0,251.0
2019-05-26,21,55.0,62.0,55.0,52.0,245.0
2019-06-02,21,55.0,70.0,58.0,56.0,260.0
2019-06-09,21,51.0,75.0,58.0,50.0,255.0
2019-06-16,21,53.0,56.0,59.0,47.0,236.0
2019-06-23,24,48.0,60.0,54.0,55.0,241.0
2019-06-30,22,41.0,46.0,61.0,53.0,223.0
2019-07-07,23,47.0,46.0,57.0,59.0,232.0
2019-07-14,22,46.0,53.0,61.0,60.0,242.0
2019-07-21,24,38.0,56.0,62.0,65.0,245.0
2019-07-28,23,41.0,44.0,55.0,56.0,219.0
2019-08-04,22,37.0,43.0,60.0,60.0,222.0
2019-08-11,23,41.0,50.0,58.0,57.0,229.0
2019-08-18,23,51.0,53.0,59.0,62.0,248.0
2019-08-25,24,55.0,54.0,53.0,55.0,241.0
2019-09-01,22,63.0,46.0,51.0,55.0,237.0
2019-09-08,25,71.0,50.0,54.0,58.0,258.0
2019-09-15,23,65.0,51.0,57.0,52.0,248.0
2019-09-22,23,68.0,60.0,58.0,48.0,257.0
2019-09-29,22,71.0,63.0,49.0,53.0,258.0
2019-10-06,24,69.0,62.0,51.0,54.0,260.0
2019-10-13,23,54.0,56.0,55.0,54.0,242.0
2019-10-20,23,61.0,68.0,52.0,50.0,254.0
2019-10-27,23,61.0,73.0,53.0,51.0,261.0
2019-11-03,24,63.0,71.0,55.0,52.0,265.0
2019-11-10,21,57.0,66.0,54.0,52.0,250.0
2019-11-17,24,60.0,71.0,56.0,53.0,264.0
2019-11-24,23,57.0,81.0,50.0,53.0,264.0
2019-12-01,22,64.0,75.0,52.0,55.0,268.0
2019-12-08,24,55.0,71.0,55.0,55.0,260.0
2019-12-15,26,49.0,65.0,60.0,59.0,259.0
2019-12-22,27,28.0,44.0,75.0,60.0,234.0
2019-12-29,25,33.0,56.0,77.0,65.0,256.0
2020-01-05,26,62.0,64.0,57.0,70.0,279.0
2020-01-12,26,85.0,76.0,56.0,68.0,311.0
2020-01-19,24,100.0,71.0,60.0,62.0,317.0
2020-01-26,25,81.0,59.0,68.0,61.0,294.0
2020-02-02,25,82.0,69.0,60.0,61.0,297.0
2020-02-09,24,72.0,65.0,57.0,65.0,283.0
2020-02-16,24,63.0,63.0,54.0,64.0,268.0
2020-02-23,23,71.0,69.0,61.0,66.0,290.0
2020-03-01,26,69.0,73.0,77.0,66.0,311.0
2020-03-08,28,61.0,62.0,100.0,49.0,300.0
2020-03-15,37,68.0,50.0,95.0,51.0,301.0
2020-03-22,34,66.0,47.0,95.0,47.0,289.0
2020-03-29,32,67.0,60.0,86.0,53.0,298.0
2020-04-05,29,57.0,63.0,78.0,66.0,293.0
2020-04-12,29,54.0,71.0,75.0,55.0,284.0
2020-04-19,27,56.0,60.0,69.0,51.0,263.0
2020-04-26,28,66.0,52.0,63.0,57.0,266.0
2020-05-03,28,59.0,53.0,62.0,56.0,258.0
2020-05-10,28,60.0,61.0,65.0,51.0,265.0
2020-05-17,28,58.0,54.0,68.0,57.0,265.0
2020-05-24,30,52.0,56.0,61.0,64.0,263.0
2020-05-31,28,55.0,54.0,57.0,63.0,257.0
2020-06-07,28,53.0,67.0,59.0,70.0,277.0
2020-06-14,30,59.0,68.0,59.0,64.0,280.0
2020-06-21,30,54.0,63.0,62.0,57.0,266.0
2020-06-28,32,46.0,62.0,66.0,69.0,275.0
2020-07-05,31,54.0,57.0,61.0,71.0,274.0
2020-07-12,29,54.0,64.0,62.0,67.0,276.0
2020-07-19,27,52.0,62.0,75.0,78.0,294.0
2020-07-26,25,66.0,58.0,67.0,61.0,277.0
2020-08-02,27,50.0,64.0,62.0,58.0,261.0
2020-08-09,28,56.0,57.0,60.0,78.0,279.0
2020-08-16,27,56.0,51.0,59.0,69.0,262.0
2020-08-23,29,52.0,53.0,57.0,71.0,262.0
2020-08-30,28,57.0,50.0,55.0,70.0,260.0
2020-09-06,26,58.0,50.0,56.0,61.0,251.0
2020-09-13,26,63.0,57.0,52.0,70.0,268.0
2020-09-20,32,63.0,61.0,52.0,61.0,269.0
2020-09-27,33,56.0,63.0,51.0,55.0,258.0
2020-10-04,35,58.0,67.0,56.0,65.0,281.0
2020-10-11,39,50.0,61.0,58.0,63.0,271.0
2020-10-18,34,52.0,68.0,57.0,67.0,278.0
2020-10-25,34,48.0,73.0,54.0,59.0,268.0
2020-11-01,30,48.0,60.0,49.0,58.0,245.0
2020-11-08,30,52.0,82.0,55.0,83.0,302.0
2020-11-15,30,49.0,61.0,53.0,66.0,259.0
2020-11-22,28,46.0,56.0,52.0,59.0,241.0
2020-11-29,30,50.0,67.0,57.0,62.0,266.0
2020-12-06,29,47.0,63.0,59.0,67.0,265.0
2020-12-13,32,46.0,71.0,59.0,60.0,268.0
2020-12-20,30,30.0,45.0,65.0,55.0,225.0
2020-12-27,27,30.0,46.0,71.0,55.0,229.0
2021-01-03,29,56.0,60.0,55.0,94.0,294.0
2021-01-10,28,53.0,60.0,52.0,68.0,261.0
2021-01-17,28,62.0,69.0,48.0,66.0,273.0
2021-01-24,26,47.0,59.0,56.0,59.0,247.0
2021-01-31,26,60.0,64.0,53.0,61.0,264.0
2021-02-07,27,47.0,57.0,47.0,59.0,237.0
2021-02-14,27,49.0,57.0,57.0,71.0,261.0
2021-02-21,28,51.0,64.0,51.0,66.0,260.0
2021-02-28,29,49.0,64.0,52.0,59.0,253.0
2021-03-07,38,50.0,56.0,46.0,62.0,252.0
2021-03-14,34,47.0,62.0,51.0,56.0,250.0
2021-03-21,40,49.0,60.0,49.0,51.0,249.0
2021-03-28,43,51.0,58.0,55.0,54.0,261.0
2021-04-04,47,47.0,59.0,53.0,54.0,260.0
2021-04-11,37,42.0,49.0,54.0,52.0,234.0
2021-04-18,66,47.0,52.0,50.0,50.0,265.0
2021-04-25,43,45.0,56.0,54.0,54.0,252.0
2021-05-02,39,49.0,53.0,53.0,100.0,294.0
2021-05-09,40,47.0,52.0,54.0,63.0,256.0
2021-05-16,42,41.0,53.0,54.0,57.0,247.0
2021-05-23,42,42.0,57.0,54.0,52.0,247.0
2021-05-30,46,47.0,68.0,58.0,54.0,273.0
2021-06-06,48,38.0,59.0,59.0,56.0,260.0
2021-06-13,59,43.0,53.0,63.0,48.0,266.0
2021-06-20,54,38.0,54.0,51.0,50.0,247.0
2021-06-27,51,31.0,50.0,64.0,58.0,254.0
2021-07-04,45,38.0,45.0,54.0,55.0,237.0
2021-07-11,39,35.0,66.0,59.0,55.0,254.0
2021-07-18,35,34.0,53.0,55.0,58.0,235.0
2021-07-25,33,35.0,44.0,53.0,61.0,226.0
2021-08-01,34,33.0,43.0,51.0,58.0,219.0
2021-08-08,36,35.0,50.0,61.0,64.0,246.0
2021-08-15,36,39.0,51.0,57.0,60.0,243.0
2021-08-22,37,39.0,43.0,62.0,59.0,240.0
2021-08-29,36,42.0,40.0,54.0,57.0,229.0
2021-09-05,37,50.0,46.0,51.0,59.0,243.0
2021-09-12,35,59.0,53.0,49.0,53.0,249.0
2021-09-19,37,89.0,47.0,49.0,54.0,276.0
2021-09-26,36,68.0,61.0,57.0,49.0,271.0
2021-10-03,35,59.0,60.0,52.0,51.0,257.0
2021-10-10,38,54.0,62.0,58.0,55.0,267.0
2021-10-17,38,54.0,61.0,50.0,51.0,254.0
2021-10-24,35,48.0,72.0,57.0,57.0,269.0
2021-10-31,38,52.0,71.0,58.0,57.0,276.0
2021-11-07,39,51.0,67.0,49.0,56.0,262.0
2021-11-14,37,50.0,63.0,50.0,60.0,260.0
2021-11-21,38,49.0,59.0,56.0,61.0,263.0
2021-11-28,41,48.0,59.0,54.0,48.0,250.0
2021-12-05,47,47.0,59.0,57.0,54.0,264.0
2021-12-12,85,40.0,64.0,53.0,53.0,295.0
2021-12-19,100,29.0,42.0,62.0,47.0,280.0
2021-12-26,67,31.0,39.0,71.0,54.0,262.0
2022-01-02,58,57.0,50.0,65.0,52.0,282.0
2022-01-09,49,68.0,63.0,62.0,58.0,300.0
2022-01-16,36,52.0,60.0,54.0,56.0,258.0
2022-01-23,36,58.0,61.0,58.0,56.0,269.0
2022-01-30,34,57.0,56.0,56.0,61.0,264.0
2022-02-06,39,56.0,59.0,58.0,57.0,269.0
2022-02-13,31,54.0,65.0,57.0,54.0,261.0
2022-02-20,35,55.0,61.0,65.0,52.0,268.0
2022-02-27,31,56.0,71.0,61.0,59.0,278.0
2022-03-06,31,56.0,78.0,60.0,57.0,282.0
2022-03-13,30,50.0,70.0,58.0,51.0,259.0
2022-03-20,31,58.0,75.0,62.0,60.0,286.0
2022-03-27,31,66.0,77.0,64.0,50.0,288.0
2022-04-03,34,68.0,72.0,61.0,53.0,288.0
2022-04-10,35,60.0,70.0,61.0,53.0,279.0
2022-04-17,33,62.0,70.0,61.0,61.0,287.0
2022-04-24,31,64.0,76.0,55.0,59.0,285.0
2022-05-01,32,61.0,74.0,59.0,62.0,288.0
2022-05-08,31,63.0,66.0,59.0,53.0,272.0
2022-05-15,31,62.0,72.0,59.0,53.0,277.0
2022-05-22,31,56.0,70.0,60.0,49.0,266.0
2022-05-29,30,64.0,77.0,58.0,53.0,282.0
2022-06-05,32,61.0,69.0,60.0,57.0,279.0
2022-06-12,31,62.0,76.0,59.0,53.0,281.0
2022-06-19,31,60.0,58.0,62.0,54.0,265.0
2022-06-26,32,52.0,54.0,68.0,44.0,250.0
2022-07-03,36,44.0,50.0,57.0,54.0,241.0
2022-07-10,35,45.0,52.0,62.0,56.0,250.0
2022-07-17,35,44.0,68.0,62.0,56.0,265.0
2022-07-24,36,42.0,52.0,62.0,56.0,248.0
2022-07-31,33,44.0,50.0,72.0,53.0,252.0
2022-08-07,31,45.0,52.0,60.0,53.0,241.0
2022-08-14,35,50.0,63.0,63.0,57.0,268.0
2022-08-21,32,52.0,54.0,60.0,64.0,262.0
2022-08-28,33,52.0,58.0,74.0,55.0,272.0
2022-09-04,32,54.0,53.0,62.0,55.0,256.0
2022-09-11,31,61.0,59.0,55.0,54.0,260.0
2022-09-18,33,65.0,55.0,56.0,65.0,274.0
2022-09-25,34,60.0,56.0,55.0,55.0,260.0
2022-10-02,33,65.0,63.0,56.0,66.0,283.0
2022-10-09,35,61.0,64.0,57.0,51.0,268.0
2022-10-16,39,69.0,63.0,55.0,47.0,273.0
2022-10-23,38,63.0,71.0,59.0,57.0,288.0
2022-10-30,41,99.0,68.0,56.0,56.0,320.0
2022-11-06,42,78.0,72.0,56.0,59.0,307.0
2022-11-13,39,65.0,67.0,58.0,55.0,284.0
2022-11-20,35,69.0,67.0,57.0,42.0,270.0
2022-11-27,33,60.0,73.0,57.0,52.0,275.0
2022-12-04,32,63.0,66.0,55.0,54.0,270.0
2022-12-11,31,57.0,63.0,61.0,48.0,260.0
2022-12-18,32,44.0,59.0,64.0,46.0,245.0
2022-12-25,33,31.0,46.0,77.0,48.0,235.0
2023-01-01,33,41.0,47.0,77.0,49.0,247.0
