,Category: All categories,anxiety,suicide,fear,loneliness,allmentaldistress
2018-01-07,80,82.0,33.0,38.0,48.0,281.0
2018-01-14,100,84.0,32.0,38.0,100.0,354.0
2018-01-21,94,87.0,26.0,35.0,70.0,312.0
2018-01-28,97,92.0,27.0,35.0,43.0,294.0
2018-02-04,88,80.0,23.0,35.0,47.0,273.0
2018-02-11,77,80.0,21.0,36.0,45.0,259.0
2018-02-18,75,75.0,22.0,33.0,58.0,263.0
2018-02-25,93,96.0,25.0,34.0,56.0,304.0
2018-03-04,83,87.0,33.0,37.0,30.0,270.0
2018-03-11,80,81.0,22.0,33.0,43.0,259.0
2018-03-18,96,93.0,26.0,39.0,37.0,291.0
2018-03-25,92,90.0,27.0,41.0,48.0,298.0
2018-04-01,89,82.0,24.0,43.0,75.0,313.0
2018-04-08,82,87.0,21.0,39.0,42.0,271.0
2018-04-15,81,84.0,21.0,53.0,58.0,297.0
2018-04-22,77,74.0,25.0,51.0,34.0,261.0
2018-04-29,75,80.0,25.0,54.0,71.0,305.0
2018-05-06,76,71.0,21.0,47.0,38.0,253.0
2018-05-13,83,78.0,21.0,41.0,40.0,263.0
2018-05-20,68,76.0,24.0,48.0,66.0,282.0
2018-05-27,81,74.0,23.0,45.0,26.0,249.0
2018-06-03,97,87.0,69.0,42.0,43.0,338.0
2018-06-10,95,79.0,34.0,49.0,9.0,266.0
2018-06-17,84,80.0,27.0,34.0,72.0,297.0
2018-06-24,69,71.0,23.0,30.0,60.0,253.0
2018-07-01,64,71.0,22.0,26.0,33.0,216.0
2018-07-08,72,83.0,20.0,35.0,30.0,240.0
2018-07-15,77,77.0,36.0,36.0,53.0,279.0
2018-07-22,72,79.0,33.0,40.0,41.0,265.0
2018-07-29,68,86.0,28.0,40.0,62.0,284.0
2018-08-05,69,82.0,25.0,38.0,55.0,269.0
2018-08-12,62,89.0,25.0,40.0,61.0,277.0
2018-08-19,64,88.0,21.0,39.0,50.0,262.0
2018-08-26,61,83.0,21.0,37.0,40.0,242.0
2018-09-02,57,82.0,21.0,49.0,37.0,246.0
2018-09-09,74,77.0,24.0,61.0,35.0,271.0
2018-09-16,75,80.0,26.0,55.0,16.0,252.0
2018-09-23,76,89.0,24.0,53.0,80.0,322.0
2018-09-30,75,82.0,21.0,50.0,0.0,228.0
2018-10-07,82,93.0,24.0,51.0,49.0,299.0
2018-10-14,83,99.0,23.0,53.0,62.0,320.0
2018-10-21,82,92.0,25.0,46.0,61.0,306.0
2018-10-28,93,96.0,28.0,43.0,45.0,305.0
2018-11-04,99,94.0,23.0,45.0,65.0,326.0
2018-11-11,94,90.0,23.0,46.0,35.0,288.0
2018-11-18,91,91.0,25.0,35.0,62.0,304.0
2018-11-25,93,95.0,24.0,41.0,50.0,303.0
2018-12-02,92,90.0,22.0,39.0,49.0,292.0
2018-12-09,94,81.0,22.0,45.0,46.0,288.0
2018-12-16,78,81.0,21.0,37.0,65.0,282.0
2018-12-23,59,71.0,18.0,30.0,30.0,208.0
2018-12-30,76,78.0,20.0,30.0,51.0,255.0
2019-01-06,79,88.0,22.0,37.0,60.0,286.0
2019-01-13,82,83.0,23.0,42.0,70.0,300.0
2019-01-20,85,91.0,26.0,32.0,23.0,257.0
2019-01-27,100,95.0,21.0,33.0,43.0,292.0
2019-02-03,83,88.0,22.0,33.0,37.0,263.0
2019-02-10,79,80.0,18.0,36.0,44.0,257.0
2019-02-17,82,90.0,24.0,40.0,26.0,262.0
2019-02-24,78,84.0,27.0,34.0,49.0,272.0
2019-03-03,78,85.0,23.0,34.0,47.0,267.0
2019-03-10,82,86.0,23.0,29.0,58.0,278.0
2019-03-17,86,93.0,34.0,32.0,50.0,295.0
2019-03-24,93,90.0,25.0,39.0,40.0,287.0
2019-03-31,85,87.0,24.0,42.0,32.0,270.0
2019-04-07,79,88.0,24.0,34.0,71.0,296.0
2019-04-14,73,85.0,19.0,34.0,22.0,233.0
2019-04-21,75,81.0,19.0,38.0,36.0,249.0
2019-04-28,82,86.0,19.0,33.0,44.0,264.0
2019-05-05,82,76.0,19.0,35.0,44.0,256.0
2019-05-12,77,83.0,18.0,36.0,29.0,243.0
2019-05-19,81,83.0,21.0,43.0,29.0,257.0
2019-05-26,78,78.0,20.0,42.0,49.0,267.0
2019-06-02,68,80.0,19.0,44.0,46.0,257.0
2019-06-09,74,75.0,18.0,36.0,47.0,250.0
2019-06-16,75,77.0,17.0,32.0,50.0,251.0
2019-06-23,57,77.0,20.0,34.0,45.0,233.0
2019-06-30,65,68.0,17.0,32.0,28.0,210.0
2019-07-07,69,77.0,18.0,36.0,30.0,230.0
2019-07-14,68,79.0,18.0,39.0,28.0,232.0
2019-07-21,65,76.0,18.0,32.0,17.0,208.0
2019-07-28,64,77.0,19.0,38.0,44.0,242.0
2019-08-04,68,82.0,21.0,46.0,60.0,277.0
2019-08-11,63,84.0,23.0,36.0,27.0,233.0
2019-08-18,63,80.0,20.0,40.0,43.0,246.0
2019-08-25,58,71.0,19.0,54.0,36.0,238.0
2019-09-01,56,80.0,20.0,44.0,36.0,236.0
2019-09-08,62,81.0,27.0,42.0,42.0,254.0
2019-09-15,67,83.0,20.0,43.0,38.0,251.0
2019-09-22,67,83.0,24.0,46.0,57.0,277.0
2019-09-29,70,81.0,26.0,51.0,55.0,283.0
2019-10-06,75,85.0,24.0,48.0,24.0,256.0
2019-10-13,79,84.0,24.0,50.0,63.0,300.0
2019-10-20,79,83.0,20.0,50.0,48.0,280.0
2019-10-27,85,85.0,25.0,53.0,40.0,288.0
2019-11-03,88,80.0,21.0,42.0,43.0,274.0
2019-11-10,83,78.0,21.0,35.0,34.0,251.0
2019-11-17,86,86.0,22.0,36.0,39.0,269.0
2019-11-24,92,87.0,22.0,40.0,40.0,281.0
2019-12-01,75,77.0,17.0,36.0,51.0,256.0
2019-12-08,79,81.0,23.0,33.0,58.0,274.0
2019-12-15,72,72.0,19.0,35.0,46.0,244.0
2019-12-22,63,65.0,16.0,29.0,36.0,209.0
2019-12-29,61,79.0,19.0,30.0,35.0,224.0
2020-01-05,75,79.0,21.0,36.0,34.0,245.0
2020-01-12,85,88.0,19.0,36.0,53.0,281.0
2020-01-19,92,89.0,20.0,35.0,49.0,285.0
2020-01-26,84,90.0,19.0,35.0,12.0,240.0
2020-02-02,79,85.0,24.0,32.0,56.0,276.0
2020-02-09,71,76.0,22.0,33.0,32.0,234.0
2020-02-16,74,82.0,21.0,35.0,42.0,254.0
2020-02-23,74,88.0,19.0,34.0,55.0,270.0
2020-03-01,82,86.0,20.0,41.0,51.0,280.0
2020-03-08,77,80.0,17.0,47.0,43.0,264.0
2020-03-15,78,77.0,13.0,50.0,55.0,273.0
2020-03-22,84,80.0,16.0,47.0,44.0,271.0
2020-03-29,79,81.0,19.0,43.0,51.0,273.0
2020-04-05,78,74.0,17.0,41.0,68.0,278.0
2020-04-12,92,75.0,17.0,42.0,67.0,293.0
2020-04-19,79,78.0,18.0,43.0,56.0,274.0
2020-04-26,78,71.0,21.0,43.0,47.0,260.0
2020-05-03,71,73.0,18.0,37.0,65.0,264.0
2020-05-10,78,75.0,15.0,41.0,51.0,260.0
2020-05-17,69,83.0,18.0,40.0,36.0,246.0
2020-05-24,65,75.0,17.0,36.0,38.0,231.0
2020-05-31,59,78.0,19.0,38.0,34.0,228.0
2020-06-07,68,71.0,16.0,41.0,52.0,248.0
2020-06-14,78,81.0,26.0,35.0,41.0,261.0
2020-06-21,59,83.0,18.0,34.0,37.0,231.0
2020-06-28,63,77.0,20.0,36.0,28.0,224.0
2020-07-05,63,85.0,18.0,30.0,49.0,245.0
2020-07-12,62,80.0,18.0,37.0,47.0,244.0
2020-07-19,69,81.0,18.0,36.0,34.0,238.0
2020-07-26,69,81.0,17.0,38.0,40.0,245.0
2020-08-02,64,84.0,19.0,36.0,53.0,256.0
2020-08-09,61,89.0,17.0,30.0,25.0,222.0
2020-08-16,57,85.0,19.0,36.0,29.0,226.0
2020-08-23,61,85.0,27.0,35.0,24.0,232.0
2020-08-30,54,79.0,20.0,30.0,20.0,203.0
2020-09-06,59,85.0,38.0,34.0,30.0,246.0
2020-09-13,64,86.0,20.0,35.0,28.0,233.0
2020-09-20,68,82.0,18.0,38.0,45.0,251.0
2020-09-27,65,86.0,19.0,37.0,41.0,248.0
2020-10-04,70,84.0,16.0,41.0,40.0,251.0
2020-10-11,81,89.0,19.0,44.0,49.0,282.0
2020-10-18,81,91.0,18.0,44.0,48.0,282.0
2020-10-25,72,89.0,18.0,46.0,47.0,272.0
2020-11-01,65,80.0,19.0,36.0,42.0,242.0
2020-11-08,68,85.0,16.0,40.0,50.0,259.0
2020-11-15,70,86.0,17.0,38.0,34.0,245.0
2020-11-22,65,83.0,17.0,36.0,25.0,226.0
2020-11-29,66,84.0,18.0,37.0,36.0,241.0
2020-12-06,78,89.0,16.0,32.0,12.0,227.0
2020-12-13,79,83.0,15.0,32.0,50.0,259.0
2020-12-20,52,75.0,18.0,29.0,29.0,203.0
2020-12-27,57,81.0,18.0,37.0,43.0,236.0
2021-01-03,66,87.0,16.0,32.0,37.0,238.0
2021-01-10,65,88.0,24.0,37.0,40.0,254.0
2021-01-17,70,93.0,18.0,34.0,40.0,255.0
2021-01-24,79,88.0,23.0,35.0,20.0,245.0
2021-01-31,68,98.0,21.0,35.0,44.0,266.0
2021-02-07,62,88.0,19.0,34.0,45.0,248.0
2021-02-14,72,82.0,18.0,35.0,18.0,225.0
2021-02-21,75,90.0,19.0,34.0,58.0,276.0
2021-02-28,74,92.0,16.0,31.0,40.0,253.0
2021-03-07,71,89.0,18.0,32.0,30.0,240.0
2021-03-14,67,85.0,16.0,32.0,41.0,241.0
2021-03-21,70,89.0,29.0,35.0,32.0,255.0
2021-03-28,63,86.0,28.0,34.0,19.0,230.0
2021-04-04,68,88.0,20.0,36.0,49.0,261.0
2021-04-11,57,83.0,18.0,39.0,31.0,228.0
2021-04-18,62,84.0,16.0,36.0,31.0,229.0
2021-04-25,55,87.0,18.0,39.0,27.0,226.0
2021-05-02,61,89.0,17.0,35.0,21.0,223.0
2021-05-09,59,87.0,16.0,40.0,24.0,226.0
2021-05-16,61,79.0,18.0,39.0,46.0,243.0
2021-05-23,68,86.0,16.0,34.0,25.0,229.0
2021-05-30,62,84.0,17.0,38.0,37.0,238.0
2021-06-06,57,79.0,15.0,39.0,36.0,226.0
2021-06-13,59,75.0,16.0,37.0,28.0,215.0
2021-06-20,58,77.0,19.0,31.0,19.0,204.0
2021-06-27,48,76.0,15.0,41.0,15.0,195.0
2021-07-04,58,84.0,16.0,79.0,21.0,258.0
2021-07-11,51,86.0,17.0,100.0,15.0,269.0
2021-07-18,57,79.0,23.0,85.0,48.0,292.0
2021-07-25,55,89.0,33.0,57.0,37.0,271.0
2021-08-01,55,84.0,80.0,59.0,39.0,317.0
2021-08-08,57,90.0,100.0,56.0,44.0,347.0
2021-08-15,56,81.0,53.0,47.0,40.0,277.0
2021-08-22,56,84.0,39.0,45.0,36.0,260.0
2021-08-29,51,82.0,31.0,43.0,0.0,207.0
2021-09-05,51,91.0,29.0,42.0,47.0,260.0
2021-09-12,56,81.0,21.0,46.0,23.0,227.0
2021-09-19,60,82.0,20.0,39.0,43.0,244.0
2021-09-26,55,86.0,21.0,44.0,48.0,254.0
2021-10-03,65,91.0,16.0,54.0,11.0,237.0
2021-10-10,61,97.0,21.0,56.0,26.0,261.0
2021-10-17,74,93.0,20.0,59.0,32.0,278.0
2021-10-24,67,85.0,18.0,55.0,23.0,248.0
2021-10-31,76,87.0,19.0,45.0,26.0,253.0
2021-11-07,68,89.0,19.0,34.0,47.0,257.0
2021-11-14,69,87.0,18.0,34.0,44.0,252.0
2021-11-21,62,82.0,18.0,33.0,32.0,227.0
2021-11-28,65,77.0,17.0,36.0,30.0,225.0
2021-12-05,72,90.0,20.0,36.0,39.0,257.0
2021-12-12,63,86.0,18.0,36.0,23.0,226.0
2021-12-19,45,70.0,18.0,31.0,27.0,191.0
2021-12-26,52,72.0,21.0,31.0,17.0,193.0
2022-01-02,59,79.0,21.0,37.0,30.0,226.0
2022-01-09,69,87.0,20.0,43.0,33.0,252.0
2022-01-16,62,80.0,20.0,42.0,65.0,269.0
2022-01-23,74,94.0,19.0,43.0,27.0,257.0
2022-01-30,64,84.0,20.0,37.0,42.0,247.0
2022-02-06,70,90.0,19.0,39.0,38.0,256.0
2022-02-13,68,84.0,19.0,35.0,28.0,234.0
2022-02-20,65,81.0,17.0,40.0,42.0,245.0
2022-02-27,72,94.0,18.0,40.0,33.0,257.0
2022-03-06,74,90.0,18.0,43.0,48.0,273.0
2022-03-13,68,96.0,18.0,36.0,35.0,253.0
2022-03-20,75,100.0,18.0,39.0,38.0,270.0
2022-03-27,77,94.0,19.0,40.0,33.0,263.0
2022-04-03,82,87.0,18.0,43.0,33.0,263.0
2022-04-10,78,89.0,18.0,43.0,54.0,282.0
2022-04-17,67,88.0,18.0,42.0,34.0,249.0
2022-04-24,67,77.0,18.0,41.0,58.0,261.0
2022-05-01,68,87.0,22.0,40.0,42.0,259.0
2022-05-08,65,72.0,16.0,41.0,30.0,224.0
2022-05-15,60,77.0,17.0,44.0,42.0,240.0
2022-05-22,63,79.0,16.0,39.0,18.0,215.0
2022-05-29,59,78.0,16.0,42.0,41.0,236.0
2022-06-05,64,78.0,15.0,40.0,46.0,243.0
2022-06-12,66,79.0,19.0,43.0,35.0,242.0
2022-06-19,67,73.0,19.0,36.0,39.0,234.0
2022-06-26,50,71.0,16.0,35.0,32.0,204.0
2022-07-03,47,73.0,16.0,36.0,20.0,192.0
2022-07-10,57,78.0,17.0,33.0,42.0,227.0
2022-07-17,54,80.0,16.0,39.0,43.0,232.0
2022-07-24,58,80.0,13.0,38.0,50.0,239.0
2022-07-31,54,82.0,15.0,37.0,33.0,221.0
2022-08-07,58,80.0,15.0,33.0,23.0,209.0
2022-08-14,55,68.0,16.0,34.0,23.0,196.0
2022-08-21,41,79.0,15.0,31.0,26.0,192.0
2022-08-28,52,84.0,17.0,33.0,39.0,225.0
2022-09-04,51,77.0,19.0,34.0,34.0,215.0
2022-09-11,56,80.0,16.0,40.0,37.0,229.0
2022-09-18,62,81.0,15.0,41.0,38.0,237.0
2022-09-25,64,78.0,17.0,41.0,41.0,241.0
2022-10-02,60,75.0,15.0,44.0,59.0,253.0
2022-10-09,60,73.0,15.0,52.0,39.0,239.0
2022-10-16,67,79.0,17.0,48.0,50.0,261.0
2022-10-23,72,83.0,19.0,46.0,53.0,273.0
2022-10-30,72,83.0,18.0,40.0,69.0,282.0
2022-11-06,72,81.0,15.0,37.0,32.0,237.0
2022-11-13,66,76.0,20.0,38.0,52.0,252.0
2022-11-20,75,71.0,17.0,36.0,44.0,243.0
2022-11-27,74,87.0,18.0,37.0,56.0,272.0
2022-12-04,69,77.0,22.0,39.0,21.0,228.0
2022-12-11,79,79.0,36.0,41.0,55.0,290.0
2022-12-18,57,70.0,27.0,34.0,35.0,223.0
2022-12-25,48,64.0,20.0,36.0,30.0,198.0
2023-01-01,55,81.0,19.0,34.0,33.0,222.0
2023-01-08,71,92.0,20.0,42.0,60.0,285.0
2023-01-15,77,88.0,19.0,41.0,30.0,255.0
2023-01-22,76,89.0,18.0,39.0,36.0,258.0
2023-01-29,75,81.0,18.0,42.0,47.0,263.0
2023-02-05,65,79.0,17.0,41.0,25.0,227.0
2023-02-12,65,78.0,16.0,39.0,56.0,254.0
2023-02-19,61,82.0,19.0,37.0,40.0,239.0
2023-02-26,66,88.0,17.0,35.0,41.0,247.0
